분기,구분,시도별,계약금액(억원)
2025/02,지방,세종,3312.9
2025/02,지방,강원,23630.2
2025/02,지방,충북,33170.8
2025/02,지방,충남,23938.5
2025/02,지방,전북,20139.2
2025/02,지방,전남,26764
2025/02,지방,경북,27781.5
2025/02,지방,경남,40353
2025/02,지방,제주,7892.8
2025/03,전국,전국,600669.9
2025/03,수도권,서울,76507.1
2025/03,수도권,인천,29428.7
2025/03,수도권,경기,217554.3
2025/03,지방,부산,25334
2025/03,지방,대구,11219.5
2025/03,지방,광주,6539.4
2025/03,지방,대전,12602.4
2025/03,지방,울산,15335.4
2025/03,지방,세종,4034.6
2025/03,지방,강원,20941.8
2025/03,지방,충북,47682.9
2025/03,지방,충남,40685.5
2025/03,지방,전북,16299.3
2025/03,지방,전남,19064.1
2025/03,지방,경북,22641.3
2025/03,지방,경남,29890.3
2025/03,지방,제주,4909.1
2025/04,전국,전국,794752.5
2025/04,수도권,서울,105344.3
2025/04,수도권,인천,54346.4
2025/04,수도권,경기,240553.5
2025/04,지방,부산,51673.8
2025/04,지방,대구,21189.3
2025/04,지방,광주,19060.7
2025/04,지방,대전,8261.3
2025/04,지방,울산,31464.2
2025/04,지방,세종,7739.7
2025/04,지방,강원,35830.9
2025/04,지방,충북,34112.9
2025/04,지방,충남,41407.7
2025/04,지방,전북,24526
2025/04,지방,전남,37996.5
2025/04,지방,경북,33364.8
2025/04,지방,경남,39933.5
2025/04,지방,제주,7947
